"code","long_description","medium_description","short_description"
"12044","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm","REPAIR INTERMEDIATE N/H/F/XTRNL GENT 7.6-12.5CM","INTMD WND REPAIR N-HF/GENIT"
"12045","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 12.6 cm to 20.0 cm","REPAIR INTERMEDIATE N/H/F/XTRNL GENT 12.6-20 CM","INTMD WND REPAIR N-HF/GENIT"
"12046","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 20.1 cm to 30.0 cm","RPR INTERMEDIATE N/H/F/XTRNL GENT 20.1-30.0 CM","INTMD WND REPAIR N-HF/GENIT"
"12047","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; over 30.0 cm","REPAIR INTERMEDIATE N/H/F/XTRNL GENT >30.0 CM","INTMD WND REPAIR N-HF/GENIT"
"12051","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less","REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.5 CM/<","INTMD WND REPAIR FACE/MM"
"12052","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm","REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.6-53.0 CM/>","INTMD WND REPAIR FACE/MM"
"12053","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm","REPAIR INTERMEDIATE F/E/E/N/L&/MUC 5.1-7.5 CM","INTMD WND REPAIR FACE/MM"
"12054","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm","REPAIR INTERMEDIATE F/E/E/N/L&/MUC 7.6-12.5 CM","INTMD WND REPAIR FACE/MM"
"12055","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm","REPAIR INTERMEDIATE F/E/E/N/L&/MUC 12.6-20.0CM","INTMD WND REPAIR FACE/MM"
"12056","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm","REPAIR INTERMEDIATE F/E/E/N/L&/MUC 20.1-30.0CM","INTMD WND REPAIR FACE/MM"
"12057","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm","REPAIR INTERMEDIATE F/E/E/N/L&/MUC > 30.0 CM","INTMD WND REPAIR FACE/MM"
"13100","Repair, complex, trunk; 1.1 cm to 2.5 cm","REPAIR COMPLEX TRUNK 1.1 CM-2.5 CM","REPAIR OF WOUND OR LESION"
"13101","Repair, complex, trunk; 2.6 cm to 7.5 cm","REPAIR COMPLEX TRUNK 2.6 CM-7.5 CM","REPAIR OF WOUND OR LESION"
"13102","Repair, complex, trunk; each additional 5 cm or less (List separately in addition to code for primary procedure)","REPAIR COMPLEX TRUNK EACH ADDITIONAL 5 CM/<","REPAIR WOUND/LESION ADD-ON"
"13120","Repair, complex, scalp, arms, and/or legs; 1.1 cm to 2.5 cm","REPAIR COMPLEX SCALP/ARM/LEG 1.1 CM-2.5 CM","REPAIR OF WOUND OR LESION"
"13121","Repair, complex, scalp, arms, and/or legs; 2.6 cm to 7.5 cm","REPAIR COMPLEX SCALP/ARM/LEG 2.6 CM-7.5 CM","REPAIR OF WOUND OR LESION"
"13122","Repair, complex, scalp, arms, and/or legs; each additional 5 cm or less (List separately in addition to code for primary procedure)","REPAIR COMPLEX SCALP/ARM/LEG EA ADDL 5 CM/<","REPAIR WOUND/LESION ADD-ON"
"13131","Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm","REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 1.1 CM-2.5 CM","REPAIR OF WOUND OR LESION"
"13132","Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 2.6 cm to 7.5 cm","REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 2.6 CM-7.5 CM","REPAIR OF WOUND OR LESION"
"13133","Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; each additional 5 cm or less (List separately in addition to code for primary procedure)","REPAIR COMPLEX F/C/C/M/N/AX/G/H/F EA ADDL 5 CM/<","REPAIR WOUND/LESION ADD-ON"
"13150","Repair, complex, eyelids, nose, ears and/or lips; 1.0 cm or less","REPAIR COMPLEX EYELID/NOSE/EAR/LIP 1.0 CM/<","REPAIR OF WOUND OR LESION"
"13151","Repair, complex, eyelids, nose, ears and/or lips; 1.1 cm to 2.5 cm","REPAIR COMPLEX EYELID/NOSE/EAR/LIP 1.1-2.5 CM","REPAIR OF WOUND OR LESION"
"13152","Repair, complex, eyelids, nose, ears and/or lips; 2.6 cm to 7.5 cm","REPAIR COMPLEX EYELID/NOSE/EAR/LIP 2.6-7.5 CM","REPAIR OF WOUND OR LESION"
"13153","Repair, complex, eyelids, nose, ears and/or lips; each additional 5 cm or less (List separately in addition to code for primary procedure)","REPAIR COMPLX EYELID/NOSE/EAR/LIP EA ADDL 5 CM/<","REPAIR WOUND/LESION ADD-ON"
"13160","Secondary closure of surgical wound or dehiscence, extensive or complicated","SECONDARY CLOSURE SURG WOUND/DEHSN EXTSV/COMPLIC","LATE CLOSURE OF WOUND"
"14000","Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less","ADJACENT TISSUE TRANSFER/REARGMT TRUNK 10 CM/<","SKIN TISSUE REARRANGEMENT"
"14001","Adjacent tissue transfer or rearrangement, trunk; defect 10.1 sq cm to 30.0 sq cm","ADJNT TIS TRANSFR/REARRANGE TRUNK 10.1-30.0 SQCM","SKIN TISSUE REARRANGEMENT"
"14020","Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less","ADJT TIS TRNSFR/REARGMT SCALP/ARM/LEG 10 SQ CM/<","SKIN TISSUE REARRANGEMENT"
"14021","Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm","ADJT/REARRGMT SCALP/ARM/LEG 10.1-30.0 SQ CM","SKIN TISSUE REARRANGEMENT"
"14040","Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less","ADJT TIS TRNS/REARGMT F/C/C/M/N/A/G/H/F 10SQCM/<","SKIN TISSUE REARRANGEMENT"
"14041","Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm","ADJT/REARGMT F/C/C/M/N/AX/G/H/F 10.1-30.0 SQ CM","SKIN TISSUE REARRANGEMENT"
"14060","Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less","ADJT TIS TRNSFR/REARRGMT E/N/E/L DFCT 10 SQ CM/<","SKIN TISSUE REARRANGEMENT"
"14061","Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm","ADJT TIS REARGMT EYE/NOSE/EAR/LIP 10.1-30.0 SQCM","SKIN TISSUE REARRANGEMENT"
"14301","Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm","ADJNT TIS TRNSFR/REARGMT ANY AREA 30.1-60 SQ CM","SKIN TISSUE REARRANGEMENT"
"14302","Adjacent tissue transfer or rearrangement, any area; each additional 30.0 sq cm, or part thereof (List separately in addition to code for primary procedure)","ADJT TIS TRNSFR/REARGMT DEFEC EA ADDL 30 SQCM/<","SKIN TISSUE REARRANGE ADD-ON"
"14350","Filleted finger or toe flap, including preparation of recipient site","FILLETED FINGER/TOE FLAP W/PREPJ RECIPIENT SITE","SKIN TISSUE REARRANGEMENT"
"15002","Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs; first 100 sq cm or 1% of body area of infants and children","PREP SITE TRUNK/ARM/LEG 1ST 100 SQ CM/1PCT","WOUND PREP TRK/ARM/LEG"
"15003","Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs; each additional 100 sq cm, or part thereof, or each additional 1% of body area of infants and children (List separately in addition to code for primary procedure)","PREP SITE T/A/L ADDL 100 SQ CM/1PCT","WOUND PREP ADDL 100 CM"
"15004","Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet and/or multiple digits; first 100 sq cm or 1% of body area of infants and children","PREP SITE F/S/N/H/F/G/M/D GT 1ST 100 SQ CM/1PCT","WOUND PREP F/N/HF/G"
"15005","Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet and/or multiple digits; each additional 100 sq cm, or part thereof, or each additional 1% of body area of infants and children (List separately in addition to code for primary procedure)","PREP SITE F/S/N/H/F/G/M/D GT ADDL 100 SQ CM/1PCT","WND PREP F/N/HF/G ADDL CM"
"15040","Harvest of skin for tissue cultured skin autograft, 100 sq cm or less","HARVEST SKIN TISSUE CLTR SKIN AGRFT 100 CM/<","HARVEST CULTURED SKIN GRAFT"
"15050","Pinch graft, single or multiple, to cover small ulcer, tip of digit, or other minimal open area (except on face), up to defect size 2 cm diameter","PINCH GRAFT 1/MLT C> SM ULCER TIP/OTH AREA 2CM","SKIN PINCH GRAFT"
"15100","Split-thickness autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children (except 15050)","SPLIT AGRFT T/A/L 1ST 100 CM/</1% BDY INFT/CHLD","SKIN SPLT GRFT TRNK/ARM/LEG"
"15101","Split-thickness autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","SPLIT AGRFT T/A/L EA 100 CM/EA 1% BDY INFT/CHLD","SKIN SPLT GRFT T/A/L ADD-ON"
"15110","Epidermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children","EPIDRM AGRFT T/A/L 1ST 100 CM/</1% BDY INFT/CHLD","EPIDRM AUTOGRFT TRNK/ARM/LEG"
"15111","Epidermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","EPIDRM AGRFT T/A/L EA 100 CM/EA 1% BDY INFT/CHLD","EPIDRM AUTOGRFT T/A/L ADD-ON"
"15115","Epidermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children","EPIDERMAL AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/<","EPIDRM A-GRFT FACE/NCK/HF/G"
"15116","Epidermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","EPIDERMAL AGRFT F/S/N/H/F/G/M/D GT EA 100 CM/<","EPIDRM A-GRFT F/N/HF/G ADDL"
"15120","Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children (except 15050)","SPLIT AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/</1 %","SKN SPLT A-GRFT FAC/NCK/HF/G"
"15121","Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","SPLIT AGRFT F/S/N/H/F/G/M/D GT EA 100 CM/EA 1 %","SKN SPLT A-GRFT F/N/HF/G ADD"
"15130","Dermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children","DERMAL AUTOGRAFT TRUNK/ARM/LEG 1ST 100 CM","DERM AUTOGRAFT TRNK/ARM/LEG"
"15131","Dermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","DERMAL AUTOGRAFT TRUNK/ARM/LEG EA 100 CM/EA","DERM AUTOGRAFT T/A/L ADD-ON"
"15135","Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children","DERMAL AUTOGRAFT F/S/N/H/F/G/M/D GT 1ST 100","DERM AUTOGRAFT FACE/NCK/HF/G"
"15136","Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","DERMAL AGRFT F/S/N/H/F/G/M/D GT EA 100 CM/EA","DERM AUTOGRAFT F/N/HF/G ADD"
"15150","Tissue cultured skin autograft, trunk, arms, legs; first 25 sq cm or less","CLTR SKIN AUTOGRAFT T/A/L 1ST 25 CM/<","CULT SKIN GRFT T/ARM/LEG"
"15151","Tissue cultured skin autograft, trunk, arms, legs; additional 1 sq cm to 75 sq cm (List separately in addition to code for primary procedure)","CLTR SKIN AGRFT T/A/L ADDL 1 CM-75 CM","CULT SKIN GRFT T/A/L ADDL"
"15152","Tissue cultured skin autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","CLTR SKIN AGRFT T/A/L EA 100 CM/EA 1%BODY AREA","CULT SKIN GRAFT T/A/L +%"
"15155","Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 25 sq cm or less","CLTR SKIN AGRFT F/S/N/H/F/G/M/D GT 1ST 25CM/<","CULT SKIN GRAFT F/N/HF/G"
"15156","Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; additional 1 sq cm to 75 sq cm (List separately in addition to code for primary procedure)","CLTR SKIN AGRFT F/S/N/H/F/G/M/D GT ADDL 1-75CM","CULT SKIN GRFT F/N/HFG ADD"
"15157","Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","CLTR SKIN AGRFT F/S/N/H/F/G/M/D GT EA 100 EA","CULT EPIDERM GRFT F/N/HFG +%"
"15200","Full thickness graft, free, including direct closure of donor site, trunk; 20 sq cm or less","FTH/GFT FREE W/DIRECT CLOSURE TRUNK 20 CM/<","SKIN FULL GRAFT TRUNK"
"15201","Full thickness graft, free, including direct closure of donor site, trunk; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)","FTH/GFT FR W/DIR CLSR TRNK EA ADDL 20 CM<","SKIN FULL GRAFT TRUNK ADD-ON"
"15220","Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less","FTH/GFT FREE W/DIRECT CLOSURE S/A/L 20 CM/<","SKIN FULL GRAFT SCLP/ARM/LEG"
"15221","Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)","FTH/GFT FR W/DIR CLSR S/A/L EA ADDL 20 CM<","SKIN FULL GRAFT ADD-ON"
"15240","Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less","FTH/GFT FR W/DIR CLSR F/C/C/M/N/AX/G/H/F 20 CM/<","SKIN FULL GRFT FACE/GENIT/HF"
"15241","Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)","FTH/GT FR W/DIR CLSR F/C/C/M/N/AX/G/H/F EA20CM/<","SKIN FULL GRAFT ADD-ON"
"15260","Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; 20 sq cm or less","FTH/GFT FREE W/DIRECT CLOSURE N/E/E/L 20 SQ CM/<","SKIN FULL GRAFT EEN & LIPS"
"15261","Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)","FTH/GFT FREE W/DIR CLSR N/E/E/L EA 20 SQ CM/<","SKIN FULL GRAFT ADD-ON"
"15271","Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area","APP SKN SUB GRFT T/A/L AREA/<100SCM /<1ST 25 SCM","SKIN SUB GRAFT TRNK/ARM/LEG"
"15272","Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List separately in addition to code for primary procedure)","APP SKN SUB GRFT T/A/L AREA/<100SCM EA ADL 25SCM","SKIN SUB GRAFT T/A/L ADD-ON"
"15273","Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children","APP SKN SUB GRFT T/A/L AREA/>100SCM 1ST 100SCM","SKIN SUB GRFT T/ARM/LG CHILD"
"15274","Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","APP SKN SUB GRFT T/A/L AREA/>100SCM ADL 100SCM","SKN SUB GRFT T/A/L CHILD ADD"
"15275","Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area","SUB GRFT F/S/N/H/F/G/M/D /<100SCM /<1ST 25 SCM","SKIN SUB GRAFT FACE/NK/HF/G"
"15276","Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List separately in addition to code for primary procedure)","SUB GRFT F/S/N/H/F/G/M/D /<100SCM EA ADL 25SCM","SKIN SUB GRAFT F/N/HF/G ADDL"
"15277","Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children","SUB GRFT F/S/N/H/F/G/M/D />100SCM 1ST 100SCM","SKN SUB GRFT F/N/HF/G CHILD"
"15278","Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","SUB GRFT F/S/N/H/F/G/M/D />100SCM ADL 100SCM","SKN SUB GRFT F/N/HF/G CH ADD"
"15570","Formation of direct or tubed pedicle, with or without transfer; trunk","FRMJ DIRECT/TUBED PEDICLE W/WO TRANSFER TRUNK","FORM SKIN PEDICLE FLAP"
"15572","Formation of direct or tubed pedicle, with or without transfer; scalp, arms, or legs","FRMJ DIRECT/TUBE PEDICLE W/WO TR SCALP ARMS/LEGS","FORM SKIN PEDICLE FLAP"
"15574","Formation of direct or tubed pedicle, with or without transfer; forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands or feet","FRMJ DIR/TUBE PEDCL W/WOTR FT/CH/CH/M/N/AX/G/H/F","FORM SKIN PEDICLE FLAP"
"15576","Formation of direct or tubed pedicle, with or without transfer; eyelids, nose, ears, lips, or intraoral","FRMJ DIRECT/TUBED PEDICLE W/WOTR E/N/E/L/NTRORAL","FORM SKIN PEDICLE FLAP"
